Position,Name,ID,Salary,GameInfo,TeamAbbrev,AvgPointsPerGame
RB,MIA RB2,30000047,8900,PHI@MIA 09/08/2024 01:00PM ET,MIA,22.6
RB,MIA RB3,30000048,5800,PHI@MIA 09/08/2024 01:00PM ET,MIA,16.0
WR,MIA WR1,30000049,6300,PHI@MIA 09/08/2024 01:00PM ET,MIA,18.1
WR,MIA WR2,30000050,6100,PHI@MIA 09/08/2024 01:00PM ET,MIA,14.4
WR,MIA WR3,30000051,4400,PHI@MIA 09/08/2024 01:00PM ET,MIA,11.1
WR,MIA WR4,30000052,4100,PHI@MIA 09/08/2024 01:00PM ET,MIA,11.8
TE,MIA TE1,30000053,3500,PHI@MIA 09/08/2024 01:00PM ET,MIA,5.6
TE,MIA TE2,30000054,3800,PHI@MIA 09/08/2024 01:00PM ET,MIA,10.1
DST,MIA DST1,30000055,3500,PHI@MIA 09/08/2024 01:00PM ET,MIA,11.1
QB,PHI QB1,30000056,7200,PHI@MIA 09/08/2024 01:00PM ET,PHI,18.0
RB,PHI RB1,30000057,7100,PHI@MIA 09/08/2024 01:00PM ET,PHI,17.9
RB,PHI RB2,30000058,7700,PHI@MIA 09/08/2024 01:00PM ET,PHI,21.4
RB,PHI RB3,30000059,4200,PHI@MIA 09/08/2024 01:00PM ET,PHI,11.6
WR,PHI WR1,30000060,4300,PHI@MIA 09/08/2024 01:00PM ET,PHI,11.8
WR,PHI WR2,30000061,7000,PHI@MIA 09/08/2024 01:00PM ET,PHI,19.0
WR,PHI WR3,30000062,8500,PHI@MIA 09/08/2024 01:00PM ET,PHI,22.1
WR,PHI WR4,30000063,4300,PHI@MIA 09/08/2024 01:00PM ET,PHI,9.5
TE,PHI TE1,30000064,3800,PHI@MIA 09/08/2024 01:00PM ET,PHI,8.1
TE,PHI TE2,30000065,4400,PHI@MIA 09/08/2024 01:00PM ET,PHI,12.5
DST,PHI DST1,30000066,2700,PHI@MIA 09/08/2024 01:00PM ET,PHI,8.1
QB,CIN QB1,30000067,6300,BAL@CIN 09/08/2024 01:00PM ET,CIN,18.6
RB,CIN RB1,30000068,6100,BAL@CIN 09/08/2024 01:00PM ET,CIN,17.3
RB,CIN RB2,30000069,7400,BAL@CIN 09/08/2024 01:00PM ET,CIN,19.2
RB,CIN RB3,30000070,5100,BAL@CIN 09/08/2024 01:00PM ET,CIN,12.0
WR,CIN WR1,30000071,4600,BAL@CIN 09/08/2024 01:00PM ET,CIN,11.7
WR,CIN WR2,30000072,8500,BAL@CIN 09/08/2024 01:00PM ET,CIN,23.8
WR,CIN WR3,30000073,3600,BAL@CIN 09/08/2024 01:00PM ET,CIN,9.6
WR,CIN WR4,30000074,6700,BAL@CIN 09/08/2024 01:00PM ET,CIN,13.9
TE,CIN TE1,30000075,5100,BAL@CIN 09/08/2024 01:00PM ET,CIN,13.5
TE,CIN TE2,30000076,4700,BAL@CIN 09/08/2024 01:00PM ET,CIN,8.8
DST,CIN DST1,30000077,2900,BAL@CIN 09/08/2024 01:00PM ET,CIN,11.0
QB,BAL QB1,30000078,6200,BAL@CIN 09/08/2024 01:00PM ET,BAL,13.6
RB,BAL RB1,30000079,7300,BAL@CIN 09/08/2024 01:00PM ET,BAL,20.1
RB,BAL RB2,30000080,9000,BAL@CIN 09/08/2024 01:00PM ET,BAL,22.7
RB,BAL RB3,30000081,5000,BAL@CIN 09/08/2024 01:00PM ET,BAL,10.3
WR,BAL WR1,30000082,6600,BAL@CIN 09/08/2024 01:00PM ET,BAL,19.2
WR,BAL WR2,30000083,4600,BAL@CIN 09/08/2024 01:00PM ET,BAL,10.1
WR,BAL WR3,30000084,7400,BAL@CIN 09/08/2024 01:00PM ET,BAL,18.0
WR,BAL WR4,30000085,4900,BAL@CIN 09/08/2024 01:00PM ET,BAL,14.8
TE,BAL TE1,30000086,4000,BAL@CIN 09/08/2024 01:00PM ET,BAL,10.1
TE,BAL TE2,30000087,5300,BAL@CIN 09/08/2024 01:00PM ET,BAL,14.6
DST,BAL DST1,30000088,3300,BAL@CIN 09/08/2024 01:00PM ET,BAL,9.5
